County,Crop,Target,Model,R2_Train,R2_Test,RMSE_Train,RMSE_Test,MAE_Train,MAE_Test
Fresno,TOMATOES PROCESSING,Yield Per Acre,KNN,0.3758073039624711,-6.983861999955783,0.00010185516188180103,0.00024302681367322377,7.019139123062501e-05,0.00023085518835333334
Fresno,TOMATOES PROCESSING,Yield Per Acre,DecisionTree,0.9783538651786914,-3.593535432201966,1.896766547901395e-05,0.0001843406936736751,1.2874130766666659e-05,0.0001666288341333333
Fresno,TOMATOES PROCESSING,Yield Per Acre,GradientBoosting,0.9993174321748599,-3.37638929505849,3.3681902041300253e-06,0.00017993085995204248,2.8500730197492384e-06,0.0001525304987651025
Fresno,TOMATOES PROCESSING,Production Per Acre,KNN,0.3745701104796819,-16.84820854937964,4.709098324695885,9.631820813832144,3.8285182692499995,9.13235787911111
Fresno,TOMATOES PROCESSING,Production Per Acre,DecisionTree,0.9760778887471718,-2.127139273313382,0.9209757502090598,4.031667340354779,0.613995264880952,3.38507040888889
Fresno,TOMATOES PROCESSING,Production Per Acre,GradientBoosting,0.9991165648695873,-1.7668067566042227,0.17698472072501978,3.7922808450303154,0.14044403100204295,3.0732844034369915
Kings,ALMONDS ALL,Yield Per Acre,KNN,0.6587874360023281,-3.1090142168737858,8.029297211750207e-05,2.3279548487412246e-05,6.071372885125001e-05,2.0455555555555555e-05
Kings,ALMONDS ALL,Yield Per Acre,DecisionTree,0.9977832808635313,-0.4825612089397435,6.471729581120135e-06,1.3983376373923957e-05,3.4732522145833337e-06,1.2444444444444443e-05
Kings,ALMONDS ALL,Yield Per Acre,GradientBoosting,0.9998264708753937,-1.0043047994346197,1.8107196511527655e-06,1.625876725192888e-05,1.493990027807728e-06,1.4622192769276402e-05
Kings,ALMONDS ALL,Production Per Acre,KNN,0.45992808541093555,-10.615981862854133,0.13547445811668085,0.2377135231142483,0.10623516815062502,0.22715514519333332
Kings,ALMONDS ALL,Production Per Acre,DecisionTree,0.992401467185254,-4.8375416655598915,0.01606928293840014,0.16851591497005794,0.010413259266666672,0.13848731757777777
Kings,ALMONDS ALL,Production Per Acre,GradientBoosting,0.9994977017876226,-4.165054392925924,0.004131544570559141,0.15851244898290343,0.00348753282994458,0.13481394436989305
Kings,GRAPES WINE,Yield Per Acre,KNN,0.4537434037368663,-0.9116564762888739,0.0019877703404264603,0.0009607696539866499,0.00151930856416875,0.0008284087958
Kings,GRAPES WINE,Yield Per Acre,DecisionTree,0.9964099038721602,-3.0602768860173537,0.0001611465075578084,0.0014002067810221018,9.148343198333333e-05,0.0012073278370592594
Kings,GRAPES WINE,Yield Per Acre,GradientBoosting,0.9995513294907872,-0.9908641248327843,5.6968085078567734e-05,0.0009804719227229323,4.626497178822842e-05,0.000804525394139095
Kings,GRAPES WINE,Production Per Acre,KNN,0.2311421667915956,-2.8155065753844397,2.1111079878116685,3.4609065285819858,1.64258017613125,3.156056111222222
Kings,GRAPES WINE,Production Per Acre,DecisionTree,0.8501999923520622,-1.0732716468921093,0.9318442829628518,2.551184521018213,0.6125602945204547,2.1457451792727276
Kings,GRAPES WINE,Production Per Acre,GradientBoosting,0.9968232515275567,-2.3349817586951116,0.13569968583104491,3.235642255203105,0.11286544957240563,2.7567828248698283
Kings,TOMATOES PROCESSING,Yield Per Acre,KNN,0.2779512803819728,-0.41402822687191154,0.008951471926479942,0.000316671171679368,0.005233127685018749,0.00028072352962500003
Kings,TOMATOES PROCESSING,Yield Per Acre,DecisionTree,0.9992028529679536,-1.0501244062520665,0.0002974270198547316,0.0003813024514272782,0.00011784488280208334,0.00030733779737500004
Kings,TOMATOES PROCESSING,Yield Per Acre,GradientBoosting,0.9998342466709172,-137.74949689669089,0.00013562580619516404,0.0031368604457053004,0.00011190509831499636,0.002898272586024495
Kings,TOMATOES PROCESSING,Production Per Acre,KNN,0.4880104304610198,-0.9935145540291113,6.9600907336515245,7.486251362166121,5.385154615249999,7.1287814105
Kings,TOMATOES PROCESSING,Production Per Acre,DecisionTree,0.9891894095136162,-0.9576441822172874,1.011367637483857,7.418593570901953,0.5938429009375,6.479785406874997
Kings,TOMATOES PROCESSING,Production Per Acre,GradientBoosting,0.9997324443703037,-0.3693483907843209,0.15910777087753325,6.204569843251111,0.1341733756889555,5.178508622321255
Mendocino,GRAPES WINE,Yield Per Acre,KNN,0.1678080856805989,-2.266543903188362,8.201510344877454e-05,6.350974306138201e-05,6.643735396064516e-05,5.803536212e-05
Mendocino,GRAPES WINE,Yield Per Acre,DecisionTree,0.9977907209715304,-4.226515900504177,4.225784795142324e-06,8.03345275499612e-05,2.7530762741935518e-06,5.9384046724999994e-05
Mendocino,GRAPES WINE,Yield Per Acre,GradientBoosting,0.999483185449389,-2.6092250352836976,2.0438520611957985e-06,6.675796454309094e-05,1.6209088440567047e-06,6.090197312806167e-05
Mendocino,GRAPES WINE,Production Per Acre,KNN,0.060611101782019006,-0.4489879227918514,0.6430858243377731,0.6990361755786276,0.533830531851613,0.62001808645
Mendocino,GRAPES WINE,Production Per Acre,DecisionTree,0.9942491733365407,-1.7922866063062521,0.05031660884985679,0.97039212866434,0.028860670580645148,0.7512251677499999
Mendocino,GRAPES WINE,Production Per Acre,GradientBoosting,0.9980252885629802,-0.7896043058246862,0.029484790447193092,0.7768653950459581,0.024184963121497247,0.6352900053729468
Napa,GRAPES WINE,Yield Per Acre,KNN,0.4219518467787221,-0.41089894352077905,2.4682481994976004e-05,1.8235321046555457e-05,1.8528308268125005e-05,1.5474427733333332e-05
Napa,GRAPES WINE,Yield Per Acre,DecisionTree,0.9814832642216751,-4.236061679215828,4.417626908187616e-06,3.512916577351115e-05,2.236295571250001e-06,2.1829755822222227e-05
Napa,GRAPES WINE,Yield Per Acre,GradientBoosting,0.9991676648052299,-0.24352757636785216,9.366038729907311e-07,1.711958252959469e-05,7.902703167862755e-07,1.2157464632226552e-05
Napa,GRAPES WINE,Production Per Acre,KNN,0.1779462853759135,0.14072578470748864,0.458743988371858,0.6020209061538826,0.34701836994375024,0.47436147355555547
