Year,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1987,South Lake Tahoe,38.939926,-119.977187,43.68792077,9447.300945,30.37681494,41.00274024,41.72453763,45.78497453,1017.013922,,,64.28421053,4.31424335,179.2910017,27.85711712,0.528858075,,0.7060849057,,48.40520656,803,Clouds,broken clouds,04d,28,55,8,6,19,23,52
1988,Eureka,40.802071,-124.163673,53.03450318,7983.736264,48.58602092,51.51408026,50.65816053,55.50440427,1018.464529,,,85.24954525,8.184622556,223.2791041,,0.7689205397,,,,56.09606639,804,Clouds,overcast clouds,04d,12,27,7,0,29,70,33
1988,Fresno,36.737798,-119.787125,64.49019667,8877.04115,48.05917622,63.42885817,63.38616655,65.54129243,1015.451113,,,59.84063835,4.826693639,231.3977298,24.428,0.7480125523,,0.11,,30.1301416,804,Clouds,overcast clouds,04d,39,35,2,0,13,51,34
1988,Los Angeles,34.054908,-118.242643,68.17340733,,54.28341416,68.12154599,65.13967213,70.58772541,1014.975524,,,65.01775956,4.26537796,164.9571949,,0.876851312,,,,31.37477231,804,Clouds,overcast clouds,04d,52,38,6,0,65,0,38
1988,Palm Springs,33.830296,-116.545292,71.83549494,9782.752294,45.63809978,70.61113763,69.05223094,75.72229344,1014.182293,,,44.00011365,4.673032163,217.5840436,32.04190476,0.5786925795,,,,27.10489828,804,Clouds,overcast clouds,04d,22,45,5,0,13,15,68
1988,Riverside,33.980601,-117.375494,64.37894581,7400,49.26851662,63.57695469,62.80006944,65.93727231,1015.039845,,,61.90084244,3.295644353,173.0738843,,0.696528777,,,,30.97643443,804,Clouds,overcast clouds,04d,28,38,5,0,8,1,44
1988,San Francisco,37.774929,-122.419415,57.7990255,,51.60938638,56.81646289,56.42479053,59.1629622,1017.122723,,,80.97290528,8.385558971,239.5067168,,0.6690423573,,,,48.28119308,802,Clouds,scattered clouds,03d,36,35,3,0,45,0,32
1988,South Lake Tahoe,38.939926,-119.977187,44.1333492,9406.509946,30.91985157,41.39397122,42.15822116,46.31144573,1017.841491,,,64.2814412,4.448914571,181.9579651,27.66333333,0.5728697572,,0.659491256,,42.23895309,800,Clear,sky is clear,01d,49,45,4,6,18,20,40
1989,Eureka,40.802071,-124.163673,52.42923305,8079.245283,48.30196125,50.88727066,50.12177664,54.79572536,1018.38792,,,86.20957265,7.884049003,215.6410256,,0.6773534073,,0.3934285714,,54.45219373,802,Clouds,scattered clouds,03d,7,44,5,0,28,71,31
1989,Fresno,36.737798,-119.787125,63.41882756,8570.134875,47.85380283,62.26522257,62.3132464,64.52454699,1015.498876,,,61.61578237,5.153620728,239.143098,29.22666667,0.7540524781,,,,27.59700989,804,Clouds,overcast clouds,04d,12,61,4,0,16,67,27
1989,Los Angeles,34.054908,-118.242643,67.92470776,,53.31185959,67.67368379,64.83474658,70.40495205,1014.996005,,,63.32636986,4.16405137,161.1476027,,0.5139330544,,,,31.46027397,500,Rain,light rain,10d,56,48,0,0,62,0,34
1989,Palm Springs,33.830296,-116.545292,71.88707573,9818.536585,43.9235641,70.45641766,69.0925365,75.72037979,1014.00787,,,41.48061131,4.999816378,226.5919252,30.494,0.477092511,,,,25.27828467,803,Clouds,broken clouds,04d,19,51,4,0,21,10,49
1989,Riverside,33.980601,-117.375494,64.3273853,6480,48.55762954,63.39781557,62.73334399,65.86868067,1015.045652,,,60.60134672,3.280787491,171.7549646,,0.5169346734,,,,30.24183976,500,Rain,light rain,10d,23,53,0,0,4,2,36
1989,San Francisco,37.774929,-122.419415,57.04386758,,51.47928196,55.99673744,55.60507991,58.46357534,1017.103196,,,82.54349315,8.159068493,232.5208904,,0.6091712707,,,,46.68961187,803,Clouds,broken clouds,04d,32,61,3,0,39,0,36
