County,Crop,Target,Model,R2,RMSE,MAE
Sonoma,GRAPES WINE,Yield Per Acre,GradientBoosting,-11.606960908789924,3.6040541476912144e-05,3.309185096009371e-05
Sonoma,GRAPES WINE,Production Per Acre,KNN,-1.1804231800191334,0.7233390687940005,0.6187817608266665
Sonoma,GRAPES WINE,Production Per Acre,DecisionTree,-3.0392048161175436,1.0237505129033713,0.7412096817822221
Sonoma,GRAPES WINE,Production Per Acre,GradientBoosting,-1.637811136325367,0.8094564264413865,0.6020193898653322
Tulare,ALMONDS ALL,Yield Per Acre,KNN,-3.4250486070949275,1.7823116292126538e-05,1.570866666666667e-05
Tulare,ALMONDS ALL,Yield Per Acre,DecisionTree,-12.46397846525196,2.6461125081970907e-05,2.8272777777777777e-05
Tulare,ALMONDS ALL,Yield Per Acre,GradientBoosting,-6.5156992459467675,2.303414568834967e-05,1.966313369788299e-05
Tulare,ALMONDS ALL,Production Per Acre,KNN,-2.6691254415549466,0.1722931534769645,0.15225584987466667
Tulare,ALMONDS ALL,Production Per Acre,DecisionTree,-6.656687989224367,0.22201305514713154,0.17945695773933332
Tulare,ALMONDS ALL,Production Per Acre,GradientBoosting,-3.027075251784336,0.18101836914333036,0.14446857658937215
Tulare,GRAPES WINE,Yield Per Acre,KNN,-2.7460003742129815,0.0006192296542599436,0.0005385071572873334
Tulare,GRAPES WINE,Yield Per Acre,DecisionTree,-3.2221299026938937,0.0006197781929484656,0.00047552736608333325
Tulare,GRAPES WINE,Yield Per Acre,GradientBoosting,-2.7527552075674637,0.000592809553150943,0.0004983122161239441
Tulare,GRAPES WINE,Production Per Acre,KNN,-3.1818327854473174,2.680357658990019,2.39150233144
Tulare,GRAPES WINE,Production Per Acre,DecisionTree,-1.561711777481707,2.186032098188002,1.9276582672444447
Tulare,GRAPES WINE,Production Per Acre,GradientBoosting,-1.482088502679449,2.1157939763815343,1.8479656428467912
