month,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,high_temp_days,low_temp_days,heavy_rain_days,snow_days,high_wind_days,low_visibility_days,cloudy_days
1979-09,Riverside,33.980601,-117.375494,79.38325,,58.75066667,79.15056944,77.98144444,80.78672222,1009.8625,,,53.23611111,2.764597222,178.7416667,,0.126,,,,10.14027778,800,Clear,sky is clear,01d,1,0,0,0,0,0,0
1979-09,San Francisco,37.774929,-122.419415,67.05548611,,60.86161111,67.42943056,65.74488889,68.38615278,1012.451389,,,81.9375,7.404152778,262.6069444,,,,,,31.91805556,800,Clear,sky is clear,01d,1,0,0,0,0,0,0
1979-09,South Lake Tahoe,38.939926,-119.977187,60.55680556,10000.0,38.45602778,58.97566667,58.81380556,62.16497222,1014.466667,,,50.36388889,3.916347222,194.6444444,23.92352941,0.324,,,,6.018055556,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-10,Eureka,40.802071,-124.163673,57.46662198,7777.777778,54.05155496,57.06647453,55.54564343,59.70201072,1015.80429,,,88.67560322,7.501420912,204.9423592,,0.9347674419,,,,64.15549598,800,Clear,sky is clear,01d,0,0,0,0,0,1,0
1979-10,Fresno,36.737798,-119.787125,67.60860215,9893.75,51.43366935,66.80627688,66.65677419,68.53861559,1014.317204,,,58.51075269,4.832876344,240.6357527,24.08333333,1.243333333,,,,33.27284946,803,Clouds,broken clouds,04d,0,0,1,0,0,0,0
1979-10,Los Angeles,34.054908,-118.242643,70.63451613,,58.96670699,70.74399194,67.83122312,72.83334677,1013.918011,,,69.74193548,3.831801075,182.5295699,,0.45,,,,41.62768817,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-10,Palm Springs,33.830296,-116.545292,74.59748656,10000.0,48.80365591,73.26569892,71.69092742,78.52288978,1012.75672,,,45.26478495,5.147083333,235.3145161,31.46,0.71,,,,32.51075269,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-10,Riverside,33.980601,-117.375494,66.75419355,,54.62583333,66.32549731,65.26358871,68.1952957,1014.044355,,,68.47715054,2.815053763,179.2876344,,0.539,,,,43.89650538,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-10,San Francisco,37.774929,-122.419415,61.64846774,,56.9600672,61.51119624,60.31403226,62.90989247,1015.884409,,,85.12231183,8.211572581,252.0483871,,0.7698529412,,,,46.45026882,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-10,South Lake Tahoe,38.939926,-119.977187,48.09183377,8608.849558,35.09193931,45.56984169,46.2878628,49.83974934,1015.895778,,,65.02902375,4.78530343,185.5277045,34.295,0.84,,0.605,,47.22163588,802,Clouds,scattered clouds,03d,0,0,0,0,0,0,0
1979-11,Eureka,40.802071,-124.163673,52.94095833,9565.957447,47.90302778,51.51906944,51.31544444,54.64195833,1018.713889,,,83.60555556,7.550902778,169.9444444,,1.012282158,,,,70.42777778,801,Clouds,few clouds,02d,0,0,0,0,0,0,0
1979-11,Fresno,36.737798,-119.787125,54.6900271,8152.0,44.85646341,53.42195122,53.63838753,55.68460705,1018.779133,,,71.78319783,3.859457995,191.7737127,26.4,1.0205,,,,49.53929539,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-11,Los Angeles,34.054908,-118.242643,62.09572222,,45.69447222,60.88245833,59.82686111,64.03318056,1016.919444,,,59.77222222,3.790361111,134.025,,1.0345,,,,35.24166667,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-11,Palm Springs,33.830296,-116.545292,61.56715278,10000.0,32.63973611,59.53156944,58.54469444,66.12523611,1017.019444,,,39.25,3.933222222,222.0902778,,0.3157142857,,,,29.40694444,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-11,Riverside,33.980601,-117.375494,57.21206944,,40.80620833,55.68069444,55.50844444,58.94829167,1017.15,,,58.85416667,3.264222222,123.9708333,,0.3793478261,,,,38.61666667,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-11,San Francisco,37.774929,-122.419415,53.875875,,48.82072222,52.63097222,52.30186111,55.40147222,1019.163889,,,83.77638889,6.728722222,191.4555556,,0.7838053097,,,,61.23194444,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-11,South Lake Tahoe,38.939926,-119.977187,33.77366848,9206.015038,25.67362772,30.69880435,31.65970109,35.9538587,1019.653533,,,73.52309783,4.488600543,164.2092391,27.15264706,0.7728395062,,0.6205769231,,66.78125,801,Clouds,few clouds,02d,0,0,0,0,0,0,0
1979-12,Eureka,40.802071,-124.163673,51.47591398,9194.520548,44.95443548,49.20174731,49.82827957,53.13998656,1018.545699,,,79.28360215,10.83942204,160.7419355,,1.177291667,,,,64.71370968,802,Clouds,scattered clouds,03d,0,0,1,0,1,0,0
1979-12,Fresno,36.737798,-119.787125,50.13683727,6135.483871,40.77085302,48.48484252,49.0555643,51.2403937,1019.608924,,,72.84645669,3.899120735,167.9133858,30.64666667,0.7022972973,,,,42.02230971,721,Haze,haze,50d,0,0,0,0,0,1,0
1979-12,Los Angeles,34.054908,-118.242643,59.95106183,,38.20892473,58.06422043,57.52068548,61.97693548,1018.172043,,,50.03494624,4.037540323,116.1545699,,0.4063636364,,,,35.75672043,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-12,Palm Springs,33.830296,-116.545292,58.95915323,10000.0,29.88592742,56.51467742,55.29366935,64.13701613,1018.807796,,,38.29973118,3.67811828,223.6209677,28.63,0.4011111111,,,,33.90994624,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-12,Riverside,33.980601,-117.375494,54.9493414,,34.25994624,53.05477151,53.32215054,56.57385753,1018.462366,,,50.3172043,3.108051075,112.0416667,,0.4108163265,,,,37.81854839,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1979-12,San Francisco,37.774929,-122.419415,50.8293414,,45.51422043,48.9041129,49.1215457,52.54567204,1019.221774,,,82.95295699,7.298615591,162.7258065,,1.011503759,,,,55.18010753,801,Clouds,few clouds,02d,0,0,0,0,0,0,0
1979-12,South Lake Tahoe,38.939926,-119.977187,30.96230975,8436.090226,22.7823498,27.45923899,28.41032043,33.74938585,1020.830441,,,72.17356475,4.414672897,168.4165554,26.31466667,0.6988,,1.249444444,,54.36181575,800,Clear,sky is clear,01d,0,0,0,1,0,0,0
1980-01,Eureka,40.802071,-124.163673,48.89085791,8589.690722,42.89485255,46.17211796,47.28626005,50.60079088,1015.27882,,,80.28954424,9.425603217,194.1434316,,1.144450867,,,,68.06434316,500,Rain,light rain,10d,0,0,1,0,0,0,0
1980-01,Fresno,36.737798,-119.787125,49.66474937,5693.023256,45.55853383,48.38453634,48.71620301,50.60824561,1016.070175,,,86.36466165,4.883508772,169.8182957,25.28,1.02147541,,,,70.10275689,520,Rain,light intensity shower rain,09d,0,0,0,0,0,1,1
1980-01,Los Angeles,34.054908,-118.242643,59.0056586,,50.69633065,58.24987903,57.01787634,60.56276882,1015.268817,,,76.29704301,4.109865591,149.4408602,,0.859030303,,,,65.84543011,803,Clouds,broken clouds,04d,0,0,0,0,0,0,1
1980-01,Palm Springs,33.830296,-116.545292,58.03228304,9646.753247,45.32739653,56.90178905,55.09499332,62.81260347,1014.690254,,,66.92389853,4.802096128,225.2777036,28.635,0.7042105263,,,,63.55941255,804,Clouds,overcast clouds,04d,0,0,0,0,0,1,1
1980-01,Riverside,33.980601,-117.375494,55.05807796,,46.80181452,54.06364247,53.02248656,57.18138441,1015.483871,,,76.23655914,3.220322581,155.1545699,,0.7303322259,,,,68.81854839,804,Clouds,overcast clouds,04d,0,0,0,0,0,0,1
1980-01,San Francisco,37.774929,-122.419415,50.32834677,,45.22813172,48.39002688,48.9749328,51.64423387,1015.594086,,,83.44623656,7.661680108,182.2768817,,0.9380985915,,,,69.57930108,804,Clouds,overcast clouds,04d,0,0,0,0,0,0,1
1980-01,South Lake Tahoe,38.939926,-119.977187,28.71384514,8085.308057,23.98793963,23.17481627,26.18704724,31.71744094,1015.076115,,,81.54986877,6.663333333,177.6929134,33.39690141,1.787,,0.6186075949,,69.50656168,741,Fog,fog,50d,0,0,1,0,1,1,1
1980-02,Eureka,40.802071,-124.163673,52.40931133,8961.728395,47.5489957,50.96045911,50.8830703,54.14365854,1013.314204,,,83.93113343,9.617919656,169.2037303,,0.9701976285,,,,82.59827834,500,Rain,light rain,10d,0,0,0,0,0,0,1
1980-02,Fresno,36.737798,-119.787125,53.3186722,7768.320611,47.14163209,52.17650069,52.27887967,54.39120332,1015.463347,,,80.90594744,5.846210235,165.9031812,22.82,0.9498324022,,,,63.63900415,803,Clouds,broken clouds,04d,0,0,0,0,0,0,1
1980-02,Los Angeles,34.054908,-118.242643,61.46652299,,53.13139368,60.93866379,59.42501437,63.09994253,1015.373563,,,76.10201149,4.808103448,152.579023,,1.668780488,,,,60.34051724,804,Clouds,overcast clouds,04d,0,0,1,0,1,0,1
1980-02,Palm Springs,33.830296,-116.545292,60.7210271,9722.727273,46.12740371,59.52828816,57.52633381,65.9335378,1015.452211,,,62.15549215,4.389900143,217.1740371,26.35,0.9219847328,,,,52.67189729,803,Clouds,broken clouds,04d,0,0,0,0,0,0,1
1980-02,Riverside,33.980601,-117.375494,57.65314655,,48.09933908,56.76047414,55.80051724,59.5566523,1015.643678,,,73.0158046,3.300718391,135.1824713,,2.096906077,,,,59.43534483,804,Clouds,overcast clouds,04d,0,0,1,0,0,0,1
1980-02,San Francisco,37.774929,-122.419415,54.09468391,,49.63988506,53.18548851,52.8699569,55.29408046,1014.844828,,,85.43678161,8.293678161,185.2772989,,0.9811827957,,,,79.02011494,804,Clouds,overcast clouds,04d,0,0,0,0,0,0,1
1980-02,South Lake Tahoe,38.939926,-119.977187,31.82946779,7740.11976,25.90019608,27.67682073,29.50421569,34.25656863,1014.953782,,,78.54201681,5.658837535,187.1162465,27.70660714,1.044166667,,0.8445810056,,79.13865546,804,Clouds,overcast clouds,04d,0,0,0,0,0,1,1
1980-03,Eureka,40.802071,-124.163673,49.48538978,9909.734513,43.77952957,46.30376344,47.77672043,51.15446237,1019.174731,,,80.98655914,11.42885753,246.9650538,,0.883853211,,,,58.14650538,804,Clouds,overcast clouds,04d,0,0,0,0,1,0,0
1980-03,Fresno,36.737798,-119.787125,53.48381016,9723.076923,42.31602941,51.72965241,52.4494385,54.65379679,1015.913102,,,68.34491979,6.184411765,219.9358289,28.27277778,0.8081481481,,,,37.93850267,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1980-03,Los Angeles,34.054908,-118.242643,58.91236559,,49.92830645,58.05022849,57.04288978,60.48224462,1014.606183,,,74.00268817,4.217177419,156.561828,,0.6377419355,,,,38.93145161,802,Clouds,scattered clouds,03d,0,0,0,0,0,0,0
1980-03,Palm Springs,33.830296,-116.545292,58.80700269,10000.0,44.11063172,57.28528226,56.04182796,62.98822581,1013.693548,,,61.92607527,5.438266129,229.6760753,27.48142857,0.7554794521,,,,36.98924731,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1980-03,Riverside,33.980601,-117.375494,55.23408602,,46.23729839,54.25284946,53.35711022,57.3774328,1014.723118,,,74.07258065,3.246317204,163.3185484,,0.7787012987,,,,51.17473118,800,Clear,sky is clear,01d,0,0,0,0,0,0,0
1980-03,San Francisco,37.774929,-122.419415,54.02375,,46.00467742,52.1436828,52.67204301,55.36251344,1017.040323,,,75.18548387,10.45916667,260.1196237,,0.5525316456,,,,36.21639785,803,Clouds,broken clouds,04d,0,0,0,0,1,0,0
